mp-1200816 Gd6(Ga3Co)7
mp-345 HfB
mp-1078526 GaPd
mp-1079702 Cr3GaP4
mp-1192572 Na5Tm4Si4O16F
mp-510376 CeBRh3
mp-29411 Na2B2S5
mp-1199967 LuZn5
mp-5429 Tb(SiOs)2
mp-7072 Th(CoSi)2
mp-758180 CsSi3HO7
mp-862763 Pr(Al2Cu)4
mp-1202013 K3NaP2O11
mp-1425 TiCr2
mp-15170 Lu2Sn2O7
mp-1202794 Si10(H3C)19
mp-1103280 YGaIr
mp-1105615 Dy3Ir
mp-1188652 TmAgSe2
mp-1193240 U2Hg5(AsO9)2
mp-744774 CoH16RuN10ClO10
mp-1104686 Cs4Au6S5
mp-28787 Zn2BIr2
mp-17699 Er2Cu(B2O5)2
mp-721194 RbB5(H2O3)4
mp-8948 CeAsPd
mp-554735 HgAs4(S2I)2
mp-560443 AgHg2NO5
mp-1197435 Yb5Pt4
mp-8878 Sr(BO2)2
mp-555812 NaSr3BiO6
mp-758882 K2CoP4(HO2)8
mp-550745 TiFe(BiO3)2
mp-1195160 Al2Cu2Bi2S3Cl8
mp-698134 K2Na2Sb2H6O3F10
mp-556173 ZnAs2C6S12N12(OF2)6
mp-721426 NaPH7O6
mp-1192914 Lu2PbSe4
mp-30119 Cs3AsO4
mp-554228 Na2VOF4
mp-12110 TaRu
mp-3015 HoInCu
mp-981511 Y3SbO7
mp-1189633 Sb2S3
mp-30198 Ba4Ga2O7
mp-31049 NdO2
mp-11537 NbAlRu2
mp-29291 I2(OF2)3
mp-9960 Y3TlC
mp-557360 AsPCl3OF5
mp-642811 KCu2H2(SeO5)2
mp-4555 Ca(AsO3)2
mp-27230 As2SO6
mp-581206 Ba5Eu8Zn4O21
mp-1078202 Yb2SnGe2
mp-504723 Ba2NiWO6
mp-27484 Tl2O
mp-1189350 La5AsPb3
mp-1104133 Na(Mo3Se4)2
mp-644707 La5MnOs3O16
mp-1190019 LuZn3
mp-2430 ZrGe2
mp-23382 Y4CI5
mp-554598 B2H10C2NClO3
mp-1065711 NaGa
mp-1233 Cu6Sn5
mp-28043 Tl3AgI5
mp-1008625 W2C
mp-1018062 FeSnRh2
mp-1190924 Mn2BrO3
mp-1199586 KSi7H62C25O6
mp-1199834 Cr4Xe5F44
mp-761175 NaNi4H9(CO5)3
mp-558539 Cs2Ba2(CO3)3
mp-566670 K3Fe5(PO4)6
mp-647169 C10F3
mp-1195696 Gd2(MoO4)3
mp-1204766 CaMg2MnFe2(P2O13)2
mp-1191460 HfMn
mp-746670 CoH22C3(N3O4)2
mp-31514 Ba3Nb2CoO9
mp-559256 La4S3NCl3
mp-1203200 AlPb3OF9
mp-559466 MnP3H12NO7
mp-29170 Hg(AuF4)2
mp-1197888 InAu(I4N)2
mp-13327 NdLuSe3
mp-31171 Zn2AgAu
mp-27255 Ga2TeS2
mp-1193061 Mn2(Ni7B2)3
mp-4647 K3(Cu4Se3)2
mp-1198675 CsRu2C8(ClO4)2
mp-1197176 Sm6Al43Mo4
mp-3660 LiB3O5
mp-20516 InPt3
mp-721586 BaSi2(H3O4)2
mp-12894 Y2SO2
mp-24091 GaH4NF4
mp-558894 Ba4Ti2PtO10
mp-1275 SiMo3
mp-1192451 HoWBrO4
mp-17059 K3Nb3Si2O13
mp-22801 LuSiRh
mp-8768 K2CoSe2
mp-11040 EuZnSn
mp-28146 LiGa5O8
mp-1204534 RbHoS2O9
mp-11121 CsTbCdSe3
mp-1200197 In(SeO3)2
mp-1194388 VAgOF4
mp-30682 ZrGa
mp-1201980 Mn3Fe2(GeO4)3
mp-28361 Al2CdCl8
mp-569427 K4Sn(TeSe)2
mp-2665 PrRu2
mp-15822 LiSmGe
mp-1105248 Sm3Bi4Au3
mp-14551 Sr2CaUO6
mp-542003 Yb2Ni12P7
mp-622278 TlV2SbO8
mp-1105621 Pr2Co17
mp-27252 TlCdI3
mp-30655 Ga4Ni3
mp-10477 RbAg3Se2
mp-10415 Yb3(GePd)4
mp-16498 Sm(Al2Cu)4
mp-744190 K2Mo2H12C4N(OF3)3
mp-20909 La3In
mp-30103 AuF5
mp-541291 Na3MoN3
mp-628782 V3Pb5ClO12
mp-696909 NiH16C2S3N6O7
mp-9364 RbSmS2
mp-20109 Th2NiB10
mp-1079636 DyNiSb2
mp-29537 Cl2O
mp-699647 Mn2SnC9ClO9
mp-21080 La(NiSn)2
mp-28812 Ag5BiO4
mp-555794 NaMg2V3O10
mp-554390 SrAl2SiN2O3
mp-1018090 CaGaSiH
mp-19224 Ca3MnZnO6
mp-2607 UGe3
mp-8003 SiCN
mp-1193546 Rb2PtC4(N2Cl)2
mp-505319 PtF6
mp-10795 TaTlS3
mp-1105151 Co3Se4(ClO5)2
mp-15576 Dy3Ga5O12
mp-571245 Ho2Fe14C
mp-554906 Zn2BiPO6
mp-559244 Sr2MnP3O11
mp-1104301 K3(PbCl4)2
mp-6982 ErB2Rh2C
mp-781555 CaMgB6H12O17
mp-562504 Cs2GaP3O10
mp-1196607 NaIn(IO3)4
mp-10495 NdCuS2
mp-27649 BaU2O7
mp-1200195 ScMnGe2
mp-558752 Rb2Ca2(SO4)3
mp-27657 Ca2B6O11
mp-757207 YH5S3O13
mp-31079 Ce3(Al3Ru)4
mp-11869 HfSnPd
mp-14161 Sr4Al6SO16
mp-867984 Pb3NO6
mp-1163934 Ca3V2(SiO4)3
mp-29387 K5SnBi3
mp-1103452 RbV2Fe(AgO4)2
mp-542079 K3La(PSe4)2
mp-1001600 HfB12
mp-1190972 In4Pd17Se4
mp-1199322 La(SeO3)2
mp-19312 BaTb2NiO5
mp-1095038 La2CuGe6
mp-1106024 Eu5As3
mp-542727 Cr2(Co7B2)3
mp-1194423 Zr6Al16Co7
mp-560619 AgH12C6N5O3
mp-17009 Ba3Te2O9
mp-9634 Na3AgS2
mp-21113 Y(FeGe)2
mp-30055 Rb3BrO
mp-1077980 Sr(Ag2Sb)2
mp-1197017 Ba2Ge(Sb2S5)2
mp-18151 Rb2Na4Co2O5
mp-6954 SrAgAs
mp-558599 K2Mn2P2O7F2
mp-24011 CeHSe
mp-776332 Na(BH)5
mp-1095659 YbAlB4
mp-1194374 Nb4VS8
mp-1196886 Ho5Ga3
mp-28591 Na4HgP2
mp-1190299 Nd2Ir2O7
mp-568638 Y3CuSiSe7
mp-559233 SeS4N3Cl5
mp-30589 LaCu4
mp-11754 Sc6Te2Os
mp-628742 Cs5Sb8
mp-1197012 AsPHCl3OF6
mp-17968 Na2CaV4O12
mp-1095487 LuTc2
mp-18601 DyMn2O5
mp-1203277 K3HoSi3O10
mp-20733 ErSiIr
mp-580744 Hf6Si7Ni16
mp-1077185 MgTiH4
mp-1203164 AlCoNF6
mp-504874 YB7Mo3
mp-505001 Rb3ZnBr5
mp-23253 RbBi2
mp-1197987 Na3B6BrO10
mp-556112 AuCS2Cl3
mp-29592 RePCl9
mp-704879 Ni5Te4(BrO6)2
mp-1185576 CsYbI3
mp-545344 NdTe2ClO5
mp-774848 H10SeO8
mp-19315 Sr2MnWO6
mp-556679 Na2Ca3Si3O10
mp-1019272 TaN2
mp-568437 Yb2Zn17
mp-1091394 Ba2NaIO6
mp-13513 SrNiGe2
mp-542168 Cs2CoSiO4
mp-582976 MoP2NCl12
mp-1204170 Mg5(C2O9)2
mp-1106344 CoPNO5
mp-9462 CsTeSe3
mp-555851 Na2Cd3(P2O7)2
mp-556016 FeCuC5N6O
mp-27841 VBrO
mp-28104 Fe2MoP12
mp-21859 CuAs2
mp-662529 LaFe9Si4
mp-628804 K2EuSiSe5
mp-696152 CuSnH12(NO3)2
mp-1191127 LiCr(WO4)2
mp-5256 KCuC2
mp-765294 SrP2(H2O3)2
mp-7387 KAgF4
mp-557661 Sb4PdC4(O2F11)2
mp-27267 ReP4
mp-1069708 BaGe3Ir
mp-1204938 EuCrHO5
mp-738695 H12OsC4N(OF)3
mp-7291 CrP2
mp-1195083 FeH12C2(NCl2)2
mp-23421 LiYb2Cl5
mp-698313 Rb2CuH4(C2O5)2
mp-1190526 PuPO4
mp-20181 Ce2C3
mp-5760 NdSF
mp-554408 CsAgSb4S7
mp-6721 Sr3LiRuO6
mp-1193690 Ge7HO20
mp-1180453 NaSeO3
mp-12964 TbNi4B
mp-559748 NdGaGe2O7
mp-21242 LiYbPb
mp-38418 Tm2Ti2O7
mp-559984 Rb8AlAu3O4
mp-8725 HfSnS3
mp-736225 Sr2Re4H16C3(N2O7)3
mp-20844 Dy3(CuSn)4
mp-698446 H24PtC8(NF3)2
mp-561000 Cs4KLiFe2F12
mp-24181 CsGaP3HO10
mp-680552 Nd3Sn13Rh4
mp-557597 K2Ca(NO2)4
mp-9406 Li2La2Ti3O10
mp-541824 BaV2CuO7
mp-557482 Ca5As3O12F
mp-1204028 Sm6Fe13Bi
mp-1216 YbO
mp-1191216 Cs4Fe2O5
mp-1200744 Rb2Cd3(B4O7)4
mp-1194826 K2CdSnS4
mp-1204117 BeH12C4(SBr)2
mp-9407 Nb3SnS6
mp-7293 HgPSe3
mp-695967 Ag3P6H12N3O19
mp-1202353 K2PS3
mp-6384 RbSO2F
mp-569186 LaMgRh
mp-29208 Ca(MgBi)2
mp-699265 BH6Ru3C6O19F4
mp-1192551 Ce6Mg23Si
mp-554150 Nd3CuGeS7
mp-1009878 ZrC
mp-388 ErPb3
mp-510529 LiCr(SiO3)2
mp-972662 Sm2Fe17C3
mp-7568 ThSb2
mp-20536 CoSn
mp-19991 SrIn4Pd
mp-1055994 In
mp-722266 Na2GeH16Se3O8
mp-571258 Er6I7
mp-30888 ZrZn22
mp-3531 Ca2P2O7
mp-10560 Sm3AuO6
mp-1077361 BaAsAu
mp-556386 KNa3WO5
mp-23025 LaClO
mp-23189 BI3
mp-1204072 RbHfC(OF)4
mp-557269 Ba2Hg3(PdO2)7
mp-1078111 CuMoS4N
mp-30788 SnMo3
mp-1203416 Sm(Al10Cr)2
mp-7436 KCuTe
mp-13758 Nd4Re2O11
mp-1188825 Dy2Si5Rh3
mp-568326 Pr2WC2
mp-1191870 Y4Ni13C4
mp-705486 U3Cu2H10(CO10)2
mp-1189284 CaV4(CoO4)3
mp-1196286 Rb3Ni2(NO3)7
mp-505599 VNiSb
mp-554975 Ba4Gd2Cd3S10
mp-1201176 Rb(SeO3)2
mp-579086 KSrNb2O6F
mp-616601 Ba2InRuO6
mp-1105706 Tb7CoI12
mp-30799 NdTlPd
mp-1200584 La3Zn22
mp-12701 NdSn2
mp-9113 CsBeAsO4
mp-662556 Re(TeBr2)2
mp-1077102 TmSn2
mp-5528 Ni3(SnS)2
mp-540635 BaSn(GeO3)3
